community_area,community_area_name,area_km2,n_bus_stops,n_rail_stations,bus_stops_per_km2,rail_stations_per_km2,bus_access_z,rail_access_z,weekday_departures,departures_per_km2,freq_access_z,transit_access,transit_access_z,transit_deficit
57,ARCHER HEIGHTS,5.191636034741358,66,1.0,12.712755585780977,0.19261750887546933,-0.8644352742948106,-0.15912785110748595,17088,3291.4479916640203,-0.38598433282849276,-0.4698491527435964,-0.5157067384419813,0.5157067384419813
58,BRIGHTON PARK,7.045514692655418,145,1.0,20.580469465368505,0.14193427217495522,0.3000280504625065,-0.26067395593890513,32188,4568.580352767458,0.09622956288021801,0.0451945524679398,0.04960557045274757,-0.04960557045274757
59,MCKINLEY PARK,3.660611318583238,81,1.0,22.127451660546505,0.27317841556230255,0.5289896087890006,0.002279486077283159,17556,4795.920263611783,0.18206754443727158,0.23777887976785175,0.2609862545019522,-0.2609862545019522
60,BRIDGEPORT,5.411376262889867,114,1.0,21.066729508681394,0.18479587288317012,0.3719971123016553,-0.17479884451937985,18512,3420.941198813245,-0.33709086979440916,-0.04663086733737792,-0.05118207059618379,0.05118207059618379
61,NEW CITY,12.498811102789238,209,0.0,16.721590420176803,0.0,-0.271106486401949,-0.545045543464273,40834,3267.030733098084,-0.3952036915529354,-0.4037852404730525,-0.44319494497206385,0.44319494497206385
62,WEST ELSDON,3.036772327831133,45,0.0,14.818364744563866,0.0,-0.5527939666416244,-0.545045543464273,12803,4215.989418325581,-0.03690013711571019,-0.3782465490738693,-0.41516366052972203,0.41516366052972203
63,GAGE PARK,5.68938319758903,108,1.0,18.982725587154473,0.1757659776588377,0.0635534941923818,-0.19289063870539502,24286,4268.6525334225325,-0.017015834858177446,-0.04878432645706356,-0.05354570873939711,0.05354570873939711
64,CLEARING,6.604979639870216,121,0.0,18.31951142886151,0.0,-0.03460571388401012,-0.545045543464273,13140,1989.4081006218203,-0.8776027017226411,-0.48575131969030805,-0.5331609673202526,0.5331609673202526
65,WEST LAWN,7.641846624105799,79,0.0,10.337815437279087,0.0,-1.2159389949116988,-0.545045543464273,24028,3144.2661940119224,-0.441556574347695,-0.734180370907889,-0.8058368569957837,0.8058368569957837
66,CHICAGO LAWN,9.123770849222462,139,0.0,15.234928879416753,0.0,-0.49114026839213,-0.545045543464273,33381,3658.6846109626667,-0.24732478098228092,-0.42783686427956136,-0.4695940230486333,0.4695940230486333
67,WEST ENGLEWOOD,8.164513351021277,169,1.0,20.699335371759815,0.12248127438911134,0.3176208341700876,-0.2996488967880682,32325,3959.2071946280244,-0.13385481480546899,-0.03862762580781654,-0.042397707440322466,0.042397707440322466
68,ENGLEWOOD,7.9513388190033885,173,2.0,21.757342246130523,0.25152996816335865,0.4742114552070591,-0.0410941351063916,34221,4303.803520259148,-0.0037436832654912803,0.1431245456117254,0.1570935952047845,-0.1570935952047845
69,GREATER GRAND CROSSING,9.176699438654657,248,1.0,27.024967054642673,0.10897164134936561,1.2538478263273267,-0.326716043683091,55502,6048.144038172491,0.6548765680127683,0.527336116885668,0.5788044680165143,-0.5788044680165143
70,ASHBURN,12.575528458546277,131,0.0,10.417057257818295,0.0,-1.2042107857753306,-0.545045543464273,31265,2486.177825692282,-0.6900346220997875,-0.813096983779797,-0.8924557830817684,0.8924557830817684
71,AUBURN GRESHAM,9.7535643904701,172,0.0,17.63457881798123,0.0,-0.13597936797298874,-0.545045543464273,45125,4626.513774194203,0.11810380370971839,-0.18764036924251445,-0.2059541924403844,0.2059541924403844
72,BEVERLY,8.241752419198583,68,0.0,8.250672495523983,0.0,-1.5248472046402572,-0.545045543464273,11375,1380.1676417144897,-1.1076369754288042,-1.0591765745111115,-1.1625529033854793,1.1625529033854793
73,WASHINGTON HEIGHTS,7.392825464327695,115,0.0,15.55562221168414,0.0,-0.44367595669563464,-0.545045543464273,23789,3217.849537336991,-0.41377330636018916,-0.46749826884003226,-0.5131264067264011,0.5131264067264011
74,MOUNT GREENWOOD,7.016921137300038,82,0.0,11.686036994788266,0.0,-1.0163950636765007,-0.545045543464273,12020,1713.0020082604265,-0.9819668715257225,-0.8478024928888321,-0.9305485726591843,0.9305485726591843
75,MORGAN PARK,8.529326802468525,88,0.0,10.317344151302935,0.0,-1.2189688536603365,-0.545045543464273,14255,1671.2925099639017,-0.9977153563924326,-0.9205765845056808,-1.0104254633839054,1.0104254633839054
77,EDGEWATER,4.4977875267518765,120,4.0,26.67978406855942,0.8893261356186474,1.2027589161590233,1.2367586757586884,32702,7270.685821750252,1.1164783988647866,1.1853319969274994,1.3010211778331926,-1.3010211778331926
